time,num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,GPSFix,NumberOfSatellites,size(byte),destination,icmp_seq,ttl,pingtime
2026-01-28 16:57:11.765868,66.0000000000,-78.6971308000,35.7275232000,25.0050000000,-0.0312770791,-0.0019990539,-0.2009419501,1.1000000000,-4.8500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,42.1395372141,,292.6337210759,42.1395372141,973.1599375381
2026-01-28 16:57:12.772040,67.0000000000,-78.6971847000,35.7275334000,25.0050000000,-0.0315088294,-0.0022983234,-0.2018071860,1.1100000000,-4.8500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,294.5444908486,0.0000000000,0.0000000000
2026-01-28 16:57:13.777571,68.0000000000,-78.6972386000,35.7275435000,25.0040000000,-0.0319701098,-0.0022999174,-0.2027229071,1.1000000000,-4.8400000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,296.3082699575,0.0000000000,0.0000000000
2026-01-28 16:57:14.784125,69.0000000000,-78.6972922000,35.7275536000,25.0050000000,-0.0325020142,-0.0016081814,-0.2070197165,1.1100000000,-4.8700000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,298.0738429962,0.0000000000,0.0000000000
2026-01-28 16:57:16.655624,70.0000000000,-78.6973896000,35.7275719000,25.0050000000,-0.0313574374,-0.0017503259,-0.2027216256,1.1100000000,-4.8600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,301.3565964928,0.0000000000,0.0000000000
2026-01-28 16:57:17.743097,71.0000000000,-78.6974491000,35.7275832000,25.0050000000,-0.0311039947,-0.0019969910,-0.2005382627,1.1100000000,-4.8500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,318.5543344237,0.0000000000,0.0000000000
2026-01-28 16:57:18.748579,72.0000000000,-78.6975028000,35.7275933000,25.0050000000,-0.0316509418,-0.0019599544,-0.2036050558,1.1100000000,-4.8500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,323.3772568909,0.0000000000,0.0000000000
2026-01-28 16:57:19.755032,73.0000000000,-78.6975569000,35.7276035000,25.0040000000,-0.0312478952,-0.0022951278,-0.2003986984,1.1000000000,-4.8400000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,26.9201582379,,329.5793725275,26.9201582379,767.2245097803
2026-01-28 16:57:20.760776,74.0000000000,-78.6976104000,35.7276135000,25.0040000000,-0.0325435884,-0.0013446981,-0.2057832330,1.1100000000,-4.8500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,64.0000000000,,335.2836790838,64.0000000000,1874.0174957213
2026-01-28 16:57:21.766645,75.0000000000,-78.6976644000,35.7276237000,25.0040000000,-0.0173325371,-0.0048367921,-0.1416753232,1.0900000000,-4.7900000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,40.9993475712,,339.4061480580,40.9993475712,1140.2943543239
2026-01-28 16:57:22.773129,76.0000000000,-78.6977128000,35.7276328000,24.9990000000,0.0095643708,-0.0067486768,-0.0140303262,0.8500000000,-3.7900000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,344.3480792426,0.0000000000,0.0000000000
2026-01-28 16:57:23.778529,77.0000000000,-78.6977504000,35.7276397000,24.9990000000,0.0280159879,-0.0058606318,0.0947984084,0.4700000000,-2.1900000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,52.3026400909,,350.2793987401,52.3026400909,1437.5053737475
2026-01-28 16:57:24.780802,78.0000000000,-78.6977654000,35.7276424000,25.0030000000,0.0296598002,-0.0059612952,0.1216491088,0.1000000000,-0.5300000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,16.5202712950,,354.1930953271,16.5202712950,454.0493313733
2026-01-28 16:57:25.786022,79.0000000000,-78.6977667000,35.7276427000,25.0020000000,0.0086858552,-0.0072367322,0.0356831737,-0.0400000000,0.1600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,61.3664884373,,359.4114861817,61.3664884373,1838.1180989720
2026-01-28 16:57:26.798081,80.0000000000,-78.6977643000,35.7276424000,24.9990000000,-0.0191396363,-0.0063569779,-0.0871733949,-0.0100000000,0.0600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,43.2779696860,,362.2378172366,43.2779696860,1296.3104357505
2026-01-28 16:57:28.659207,81.0000000000,-78.6978043000,35.7276500000,25.0020000000,-0.0705944821,0.0035714265,-0.3295063376,0.9600000000,-4.1000000000,-0.0100000000,12.5870000000,6.0000000000,10.0000000000,10.0140927780,,367.4352980034,10.0140927780,299.9533727397
2026-01-28 16:57:29.744202,82.0000000000,-78.6978590000,35.7276605000,25.0000000000,-0.0353287682,-0.0064141839,-0.2160774469,1.1000000000,-4.7100000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,369.0883022839,0.0000000000,0.0000000000
2026-01-28 16:57:30.750837,83.0000000000,-78.6979128000,35.7276707000,24.9950000000,-0.0338449888,-0.0059327283,-0.2159789205,1.1100000000,-4.8700000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,378.8501360155,0.0000000000,0.0000000000
2026-01-28 16:57:31.756602,84.0000000000,-78.6979678000,35.7276810000,24.9960000000,-0.0329883881,-0.0072199707,-0.2074270397,1.1200000000,-4.9400000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,388.6035340163,0.0000000000,0.0000000000
2026-01-28 16:57:32.761127,85.0000000000,-78.6980231000,35.7276914000,24.9970000000,-0.0319515578,-0.0070882794,-0.2010720074,1.1100000000,-4.9100000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,35.7350130229,,390.9337532557,35.7350130229,969.3122282464
2026-01-28 16:57:33.767389,86.0000000000,-78.6980778000,35.7277016000,24.9980000000,-0.0315790698,-0.0073393071,-0.1989544779,1.1000000000,-4.8800000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,395.2144658936,0.0000000000,0.0000000000
2026-01-28 16:57:34.773301,87.0000000000,-78.6981320000,35.7277118000,25.0000000000,-0.0328911841,-0.0067907618,-0.2032014132,1.1000000000,-4.8500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,405.1445679578,0.0000000000,0.0000000000
2026-01-28 16:57:35.778503,88.0000000000,-78.6981857000,35.7277219000,25.0010000000,-0.0328370519,-0.0068088239,-0.2042174488,1.1100000000,-4.8700000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,20.8851144444,,408.2632991319,20.8851144444,471.2203946515
2026-01-28 16:57:36.784352,89.0000000000,-78.6982453000,35.7277331000,25.0020000000,-0.0329084136,-0.0066331034,-0.2020196915,1.1000000000,-4.8600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,414.4374696287,0.0000000000,0.0000000000
2026-01-28 16:57:37.790056,90.0000000000,-78.6982992000,35.7277432000,25.0010000000,-0.0335235707,-0.0070406930,-0.2021466345,1.1100000000,-4.8600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,25.2581577594,,418.2106825700,25.2581577594,690.2580925179
2026-01-28 16:57:38.814164,91.0000000000,-78.6983532000,35.7277534000,25.0010000000,-0.0327785201,-0.0071925903,-0.2008870393,1.1000000000,-4.8500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,17.3735390102,,421.7285384530,17.3735390102,506.2757852195
