time,size(byte),destination,icmp_seq,ttl,pingtime
2026-01-28 16:57:11.009681,0,172.16.0.1:,283,0,0.0
2026-01-28 16:57:11.009681,0,172.16.0.1:,284,0,0.0
2026-01-28 16:57:11.009681,0,172.16.0.1:,285,0,0.0
2026-01-28 16:57:11.009681,0,172.16.0.1:,286,0,0.0
2026-01-28 16:57:11.009681,0,172.16.0.1:,287,0,0.0
2026-01-28 16:57:11.009681,0,172.16.0.1:,288,0,0.0
2026-01-28 16:57:11.009681,64,172.16.0.1:,289,64,1620.0
2026-01-28 16:57:11.523644,0,172.16.0.1:,290,0,0.0
2026-01-28 16:57:11.523644,0,172.16.0.1:,291,0,0.0
2026-01-28 16:57:11.523644,64,172.16.0.1:,292,64,1522.0
2026-01-28 16:57:11.891525,0,172.16.0.1:,293,0,0.0
2026-01-28 16:57:11.891525,64,172.16.0.1:,294,64,1478.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,295,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,296,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,297,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,298,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,299,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,300,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,301,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,302,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,303,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,304,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,305,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,306,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,307,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,308,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,309,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,310,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,311,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,312,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,313,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,314,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,315,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,316,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,317,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,318,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,319,0,0.0
2026-01-28 16:57:17.592529,0,172.16.0.1:,320,0,0.0
2026-01-28 16:57:17.592529,64,172.16.0.1:,321,64,1635.0
2026-01-28 16:57:18.679008,0,172.16.0.1:,322,0,0.0
2026-01-28 16:57:18.679008,0,172.16.0.1:,323,0,0.0
2026-01-28 16:57:18.679008,0,172.16.0.1:,324,0,0.0
2026-01-28 16:57:18.679008,0,172.16.0.1:,325,0,0.0
2026-01-28 16:57:18.679008,64,172.16.0.1:,326,64,1701.0
2026-01-28 16:57:19.416660,0,172.16.0.1:,327,0,0.0
2026-01-28 16:57:19.416660,0,172.16.0.1:,328,0,0.0
2026-01-28 16:57:19.416660,64,172.16.0.1:,329,64,1824.0
2026-01-28 16:57:20.000692,0,172.16.0.1:,330,0,0.0
2026-01-28 16:57:20.000692,0,172.16.0.1:,331,0,0.0
2026-01-28 16:57:20.000692,64,172.16.0.1:,332,64,1787.0
2026-01-28 16:57:20.926585,0,172.16.0.1:,333,0,0.0
2026-01-28 16:57:20.926585,0,172.16.0.1:,334,0,0.0
2026-01-28 16:57:20.926585,0,172.16.0.1:,335,0,0.0
2026-01-28 16:57:20.926585,64,172.16.0.1:,336,64,1893.0
2026-01-28 16:57:22.237919,0,172.16.0.1:,337,0,0.0
2026-01-28 16:57:22.237919,0,172.16.0.1:,338,0,0.0
2026-01-28 16:57:22.237919,0,172.16.0.1:,339,0,0.0
2026-01-28 16:57:22.237919,0,172.16.0.1:,340,0,0.0
2026-01-28 16:57:22.237919,0,172.16.0.1:,341,0,0.0
2026-01-28 16:57:22.237919,0,172.16.0.1:,342,0,0.0
2026-01-28 16:57:22.237919,64,172.16.0.1:,343,64,1780.0
2026-01-28 16:57:23.197054,0,172.16.0.1:,344,0,0.0
2026-01-28 16:57:23.197054,0,172.16.0.1:,345,0,0.0
2026-01-28 16:57:23.197054,0,172.16.0.1:,346,0,0.0
2026-01-28 16:57:23.197054,0,172.16.0.1:,347,0,0.0
2026-01-28 16:57:23.197054,64,172.16.0.1:,348,64,1711.0
2026-01-28 16:57:23.450883,64,172.16.0.1:,349,64,1759.0
2026-01-28 16:57:25.243539,0,172.16.0.1:,350,0,0.0
2026-01-28 16:57:25.243539,0,172.16.0.1:,351,0,0.0
2026-01-28 16:57:25.243539,0,172.16.0.1:,352,0,0.0
2026-01-28 16:57:25.243539,0,172.16.0.1:,353,0,0.0
2026-01-28 16:57:25.243539,0,172.16.0.1:,354,0,0.0
2026-01-28 16:57:25.243539,0,172.16.0.1:,355,0,0.0
2026-01-28 16:57:25.243539,0,172.16.0.1:,356,0,0.0
2026-01-28 16:57:25.243539,64,172.16.0.1:,357,64,1925.0
2026-01-28 16:57:25.638676,0,172.16.0.1:,358,0,0.0
2026-01-28 16:57:25.638676,64,172.16.0.1:,359,64,1917.0
2026-01-28 16:57:29.219499,0,172.16.0.1:,360,0,0.0
2026-01-28 16:57:29.219499,0,172.16.0.1:,361,0,0.0
2026-01-28 16:57:29.219499,0,172.16.0.1:,362,0,0.0
2026-01-28 16:57:29.219499,0,172.16.0.1:,363,0,0.0
2026-01-28 16:57:29.219499,0,172.16.0.1:,364,0,0.0
2026-01-28 16:57:29.219499,0,172.16.0.1:,365,0,0.0
2026-01-28 16:57:29.219499,0,172.16.0.1:,366,0,0.0
2026-01-28 16:57:29.219499,0,172.16.0.1:,367,0,0.0
2026-01-28 16:57:29.219499,0,172.16.0.1:,368,0,0.0
2026-01-28 16:57:29.219499,0,172.16.0.1:,369,0,0.0
2026-01-28 16:57:29.219499,0,172.16.0.1:,370,0,0.0
2026-01-28 16:57:29.219499,0,172.16.0.1:,371,0,0.0
2026-01-28 16:57:29.219499,0,172.16.0.1:,372,0,0.0
2026-01-28 16:57:29.219499,0,172.16.0.1:,373,0,0.0
2026-01-28 16:57:29.219499,0,172.16.0.1:,374,0,0.0
2026-01-28 16:57:29.219499,0,172.16.0.1:,375,0,0.0
2026-01-28 16:57:29.219499,0,172.16.0.1:,376,0,0.0
2026-01-28 16:57:29.219499,64,172.16.0.1:,377,64,1822.0
2026-01-28 16:57:31.900605,0,172.16.0.1:,378,0,0.0
2026-01-28 16:57:31.900605,0,172.16.0.1:,379,0,0.0
2026-01-28 16:57:31.900605,0,172.16.0.1:,380,0,0.0
2026-01-28 16:57:31.900605,0,172.16.0.1:,381,0,0.0
2026-01-28 16:57:31.900605,0,172.16.0.1:,382,0,0.0
2026-01-28 16:57:31.900605,0,172.16.0.1:,383,0,0.0
2026-01-28 16:57:31.900605,0,172.16.0.1:,384,0,0.0
2026-01-28 16:57:31.900605,0,172.16.0.1:,385,0,0.0
2026-01-28 16:57:31.900605,0,172.16.0.1:,386,0,0.0
2026-01-28 16:57:31.900605,0,172.16.0.1:,387,0,0.0
2026-01-28 16:57:31.900605,0,172.16.0.1:,388,0,0.0
2026-01-28 16:57:31.900605,0,172.16.0.1:,389,0,0.0
2026-01-28 16:57:31.900605,0,172.16.0.1:,390,0,0.0
2026-01-28 16:57:31.900605,64,172.16.0.1:,391,64,1639.0
2026-01-28 16:57:33.441766,0,172.16.0.1:,392,0,0.0
2026-01-28 16:57:33.441766,0,172.16.0.1:,393,0,0.0
2026-01-28 16:57:33.441766,0,172.16.0.1:,394,0,0.0
2026-01-28 16:57:33.441766,0,172.16.0.1:,395,0,0.0
